t,Steps,Event,idx,TFSI,TFSI-flip,EC,EC-flip,Li,Li-flip,TFSI-2,TFSI-2-flip,EC-2,EC-2-flip,Li-2,Li-2-flip,dx,dy,dz,dr,d,fast,system
459.0,306,1,1.0,0.0,78,4.0,50,0.0,0,2.0,135,0.0,147,0.0,0,-0.02,-1.1,-0.73,1.32,243.13,0.0,B2T1
459.0,306,1,2.0,2.0,122,3.0,80,0.0,106,2.0,194,3.0,164,1.0,110,1.05,-0.61,-0.49,1.31,250.02,0.0,B2T1
459.0,306,1,3.0,2.0,99,2.0,104,0.0,8,4.0,161,3.0,195,1.0,76,-0.27,0.4,0.92,1.04,251.0,0.0,B2T1
459.0,306,1,4.0,1.0,125,3.0,6,0.0,0,2.0,95,1.0,125,0.0,0,0.47,0.05,0.59,0.76,203.19,0.0,B2T1
459.0,306,1,5.0,0.0,0,4.0,38,0.0,0,0.0,109,1.0,162,0.0,16,1.51,1.04,-0.15,1.84,247.0,0.0,B2T1
459.0,306,1,6.0,0.0,0,5.0,128,0.0,0,0.0,6,2.0,236,0.0,0,0.48,0.19,-0.53,0.74,221.02,0.0,B2T1
459.0,306,1,7.0,2.0,108,2.0,6,0.0,0,3.0,192,0.0,85,0.0,42,0.95,0.34,0.09,1.01,256.71,0.0,B2T1
459.0,306,1,8.0,0.0,6,5.0,133,0.0,0,1.0,148,0.0,174,0.0,0,-0.49,-0.29,-0.07,0.57,219.04,0.0,B2T1
459.0,306,1,9.0,2.0,90,2.0,0,0.0,0,3.0,211,0.0,143,0.0,152,-0.67,0.64,0.75,1.19,223.94,0.0,B2T1
459.0,306,1,10.0,3.0,105,1.0,0,0.0,0,5.0,99,0.0,89,0.0,30,0.61,-0.62,0.21,0.89,249.71,0.0,B2T1
459.0,306,1,11.0,0.0,4,4.0,10,0.0,0,0.0,110,1.0,195,0.0,4,0.61,-0.02,0.01,0.61,202.44,0.0,B2T1
459.0,306,1,12.0,3.0,93,2.0,63,0.0,0,3.0,209,1.0,159,0.0,76,0.72,1.28,-0.12,1.47,223.95,0.0,B2T1
459.0,306,1,13.0,3.0,143,2.0,28,0.0,82,4.0,188,1.0,179,1.0,92,-0.45,-0.17,0.29,0.56,225.82,0.0,B2T1
